iteration,level,temperature,current,best,accepted
0,0,3034.0281201785142,46552,46552,0
4800,1,3034.0281201785142,49397,36289,4242
9600,2,2973.3475577749437,45262,33715,8508
14400,3,2913.8806066194447,45456,33715,12699
19200,4,2855.6029944870561,48799,33715,16920
24000,5,2798.4909345973147,48410,33715,21138
28800,6,2742.5211159053683,41624,33715,25298
33600,7,2687.6706935872608,39419,33640,29459
38400,8,2633.9172797155156,44574,33640,33630
43200,9,2581.2389341212051,44270,33640,37812
48000,10,2529.6141554387809,44665,33212,41951
52800,11,2479.0218723300054,54999,31443,46035
57600,12,2429.4414348834052,45293,29902,50186
62400,13,2380.8526061857374,46330,29902,54259
67200,14,2333.2355540620224,49247,29902,58279
72000,15,2286.5708429807819,40937,29902,62348
76800,16,2240.8394261211661,43696,29902,66413
81600,17,2196.0226375987427,43108,29902,70420
86400,18,2152.1021848467681,43433,29902,74457
91200,19,2109.0601411498324,43963,29902,78469
96000,20,2066.8789383268359,48076,29902,82403
100800,21,2025.541359560299,41428,29902,86372
105600,22,1985.030532369093,37928,29902,90339
110400,23,1945.3299217217111,39792,29902,94248
115200,24,1906.4233232872768,41668,29630,98130
120000,25,1868.2948568215313,39311,29630,102046
124800,26,1830.9289596851006,41790,29566,105949
129600,27,1794.3103804913985,43178,29566,109847
134400,28,1758.4241728815707,39921,29566,113693
139200,29,1723.2556894239392,41767,29566,117502
144000,30,1688.7905756354605,40898,29566,121269
148800,31,1655.0147641227513,43135,29566,125071
153600,32,1621.9144688402962,41819,29566,128808
158400,33,1589.4761794634903,37839,29566,132505
163200,34,1557.6866558742206,41788,29566,136234
168000,35,1526.5329227567361,41914,29566,139903
172800,36,1496.0022643016011,41295,29566,143546
177600,37,1466.0822190155693,40427,29566,147266
182400,38,1436.7605746352579,41852,29566,150824
187200,39,1408.0253631425526,38983,29566,154475
192000,40,1379.8648558797015,39245,29566,158030
196800,41,1352.2675587621075,41011,29566,161605
201600,42,1325.2222075868651,41404,29566,165141
206400,43,1298.7177634351278,43803,29035,168630
211200,44,1272.7434081664253,34905,27899,172134
216000,45,1247.2885400030968,36475,27899,175641
220800,46,1222.3427692030348,37287,27899,179074
225600,47,1197.8959138189741,40072,27899,182497
230400,48,1173.9379955425945,43148,27899,185936
235200,49,1150.4592356317426,43367,26979,189227
240000,50,1127.4500509191078,32254,26979,192488
244800,51,1104.9010499007256,37100,26979,195767
249600,52,1082.803028902711,33865,26979,199090
254400,53,1061.1469683246567,39044,26979,202223
259200,54,1039.9240289581637,34566,26979,205435
264000,55,1019.1255483790003,35202,26979,208666
268800,56,998.74303741142035,37283,26979,211801
273600,57,978.76817666319198,40855,26979,214896
278400,58,959.19281312992814,35196,26979,218023
283200,59,940.00895686732963,39715,26979,221096
288000,60,921.20877772998301,38864,26979,224189
292800,61,902.78460217538327,38652,25764,227167
297600,62,884.72891013187564,37019,25764,230184
302400,63,867.03433192923808,39814,25764,233175
307200,64,849.69364529065331,40105,25764,236055
312000,65,832.69977238484034,33133,25458,238940
316800,66,816.0457769371435,29014,25458,241799
321600,67,799.72486139840055,32472,23333,244549
326400,68,783.73036417043249,34208,23333,247371
331200,69,768.05575688702379,38414,23333,250181
336000,70,752.69464174928339,39612,23333,252848
