iteration,level,temperature,current,best,accepted
0,0,3974.7444695021668,42912,42912,0
4800,1,3974.7444695021668,44059,36585,4395
9600,2,3895.2495801121236,46722,33106,8780
14400,3,3817.3445885098809,51905,33106,13141
19200,4,3740.9976967396829,46503,33106,17476
24000,5,3666.177742804889,49792,33106,21784
28800,6,3592.8541879487912,51186,33106,26092
33600,7,3520.9971041898152,44993,33106,30409
38400,8,3450.5771621060189,44274,33106,34751
43200,9,3381.5656188638986,43119,33106,39051
48000,10,3313.9343064866207,34439,31245,43300
52800,11,3247.655620356888,47131,31245,47600
57600,12,3182.7025079497503,49386,31245,51871
62400,13,3119.0484577907555,42438,31245,56106
67200,14,3056.6674886349401,48348,31245,60396
72000,15,2995.5341388622414,49473,31245,64677
76800,16,2935.6234560849962,45391,31245,68897
81600,17,2876.9109869632966,40271,31245,73142
86400,18,2819.3727672240307,44448,31245,77315
91200,19,2762.9853118795495,49162,31245,81544
96000,20,2707.7256056419587,43113,31245,85715
100800,21,2653.5710935291195,39626,31245,89870
105600,22,2600.499671658537,46647,31245,94052
110400,23,2548.4896782253663,46806,31245,98216
115200,24,2497.5198846608587,43083,31245,102330
120000,25,2447.5694869676418,42305,31245,106417
124800,26,2398.6180972282887,48484,31245,110478
129600,27,2350.6457352837228,42625,31245,114550
134400,28,2303.6328205780483,45067,31245,118610
139200,29,2257.5601641664875,42675,31245,122739
144000,30,2212.4089608831578,47901,31245,126785
148800,31,2168.1607816654946,45494,31245,130802
153600,32,2124.7975660321845,41525,31245,134791
158400,33,2082.3016147115409,41510,31245,138768
163200,34,2040.6555824173101,40270,29575,142723
168000,35,1999.8424707689639,41746,29575,146687
172800,36,1959.8456213535846,46991,29575,150652
177600,37,1920.6487089265129,43606,29575,154596
182400,38,1882.2357347479826,47659,29575,158495
187200,39,1844.5910200530229,39903,29575,162356
192000,40,1807.6991996519625,46547,29575,166270
196800,41,1771.5452156589231,41817,29575,170111
201600,42,1736.1143113457445,42372,29575,173949
206400,43,1701.3920251188297,47295,29575,177767
211200,44,1667.364184616453,50675,29575,181601
216000,45,1634.0169009241238,38675,29575,185372
220800,46,1601.3365629056414,40211,29575,189062
225600,47,1569.3098316475284,41436,28684,192679
230400,48,1537.9236350145779,40008,28684,196376
235200,49,1507.1651623142864,45392,28684,200000
240000,50,1477.0218590680004,42993,28277,203658
244800,51,1447.4814218866404,44669,28277,207333
249600,52,1418.5317934489076,42861,28277,210977
254400,53,1390.1611575799293,39445,28277,214565
259200,54,1362.3579344283307,29831,27095,218093
264000,55,1335.1107757397642,45206,27095,221665
268800,56,1308.4085602249691,38707,27095,225180
273600,57,1282.2403890204696,42354,27095,228638
278400,58,1256.5955812400603,42961,27095,232072
283200,59,1231.4636696152591,44013,27095,235543
288000,60,1206.8343962229537,42760,27095,238952
292800,61,1182.6977082984947,41755,27095,242405
297600,62,1159.0437541325248,31185,27095,245744
302400,63,1135.8628790498742,34929,27095,249041
307200,64,1113.1456214688767,42369,27095,252352
