iteration,level,temperature,current,best,accepted
0,0,3095.9938557982164,48621,48621,0
4800,1,3095.9938557982164,47888,34538,4248
9600,2,3034.0739786822519,47541,34302,8476
14400,3,2973.3924991086069,45029,34302,12686
19200,4,2913.9246491264348,49994,34302,16963
24000,5,2855.646156143906,47548,33543,21144
28800,6,2798.5332330210276,47297,32702,25336
33600,7,2742.5625683606067,45751,32702,29541
38400,8,2687.7113169933946,43728,32702,33674
43200,9,2633.9570906535268,44528,32702,37847
48000,10,2581.2779488404562,40987,32679,41992
52800,11,2529.6523898636469,41994,30918,46123
57600,12,2479.059342066374,40283,30918,50246
62400,13,2429.4781552250465,44789,30918,54310
67200,14,2380.8885921205456,44237,30918,58377
72000,15,2333.2708202781346,44258,30918,62429
76800,16,2286.605403872572,47467,30918,66482
81600,17,2240.8732957951206,46271,30918,70540
86400,18,2196.055829879218,39325,30918,74595
91200,19,2152.1347132816336,40179,30918,78615
96000,20,2109.0920190160009,47154,30918,82644
100800,21,2066.9101786356809,44327,30918,86602
105600,22,2025.5719750629671,41195,30918,90602
110400,23,1985.0605355617079,41401,30918,94550
115200,24,1945.3593248504735,39936,30918,98479
120000,25,1906.4521383534641,40326,30918,102459
124800,26,1868.3230955863946,43759,30918,106316
129600,27,1830.9566336746668,45799,30918,110193
134400,28,1794.3375010011735,39718,30918,114007
139200,29,1758.4507509811501,45606,30918,117832
144000,30,1723.2817359615271,52325,30918,121688
148800,31,1688.8161012422966,41063,30918,125519
153600,32,1655.0397792174506,42463,30918,129262
158400,33,1621.9389836331015,40754,30918,133071
163200,34,1589.5002039604396,39767,30918,136820
168000,35,1557.7101998812307,39069,30918,140549
172800,36,1526.5559958836061,42918,28670,144244
177600,37,1496.0248759659339,37103,28670,147871
182400,38,1466.1043784466151,42279,28670,151575
187200,39,1436.782290877683,44682,27606,155242
192000,40,1408.0466450601293,41814,27606,158878
196800,41,1379.8857121589265,42519,27606,162587
201600,42,1352.2879979157478,44892,27606,166123
206400,43,1325.242237957433,42545,27606,169708
211200,44,1298.7373931982843,38215,27606,173186
216000,45,1272.7626453343184,36736,27606,176665
220800,46,1247.3073924276321,37567,27606,180145
225600,47,1222.3612445790795,40022,27511,183593
230400,48,1197.914019687498,44994,27511,186980
235200,49,1173.9557392937479,34016,27511,190291
240000,50,1150.4766245078729,41895,27511,193628
244800,51,1127.4670920177155,44160,27511,197030
249600,52,1104.9177501773611,40196,27511,200305
254400,53,1082.8193951738137,42960,27511,203591
259200,54,1061.1630072703374,33652,27511,206849
264000,55,1039.9397471249308,36417,27511,210064
268800,56,1019.1409521824322,33949,27511,213260
273600,57,998.75813313878359,39981,27503,216456
278400,58,978.78297047600779,33296,27175,219517
283200,59,959.2073110664877,39616,27175,222622
288000,60,940.02316484515791,34740,27175,225668
292800,61,921.22270154825469,35727,26726,228716
297600,62,902.79824751728972,39863,26516,231789
302400,63,884.7422825669438,33084,26516,234794
307200,64,867.04743691560498,31908,26516,237710
312000,65,849.70648817729295,31862,26516,240697
316800,66,832.71235841374698,35445,25539,243467
321600,67,816.05811124547211,36922,25539,246314
326400,68,799.73694902056252,33752,25539,249204
331200,69,783.74221004015124,35923,25539,252051
336000,70,768.06736583934833,31299,25539,254811
340800,71,752.70601852256129,34169,25506,257412
