iteration,level,temperature,current,best,accepted
0,0,2889.6729365042484,49151,49151,0
4800,1,2889.6729365042484,47337,32389,4224
9600,2,2831.8794777741632,46652,32389,8429
14400,3,2775.2418882186798,43895,32389,12691
19200,4,2719.7370504543064,45819,32389,16861
24000,5,2665.3423094452201,42955,32389,21037
28800,6,2612.0354632563153,44803,32389,25214
33600,7,2559.7947539911893,51607,32389,29394
38400,8,2508.5988589113654,45940,32389,33588
43200,9,2458.4268817331381,47836,32389,37660
48000,10,2409.2583440984749,39510,32389,41760
52800,11,2361.0731772165059,41163,32389,45873
57600,12,2313.8517136721757,49894,32389,49981
62400,13,2267.5746793987319,45644,32389,54003
67200,14,2222.2231858107575,47316,32389,58020
72000,15,2177.778722094542,40681,32389,62055
76800,16,2134.2231476526513,43576,32389,66068
81600,17,2091.538684699598,46776,32389,70018
86400,18,2049.7079110056061,44944,32389,73997
91200,19,2008.7137527854941,39848,32389,77977
96000,20,1968.539477729784,41305,32389,81954
100800,21,1929.1686881751884,40152,32389,85896
105600,22,1890.5853144116845,36762,32367,89812
110400,23,1852.7736081234509,42115,32367,93740
115200,24,1815.7181359609817,46917,31483,97602
120000,25,1779.4037732417621,49049,30951,101495
124800,26,1743.8156977769268,36528,30951,105310
129600,27,1708.9393838213882,43528,30951,109145
134400,28,1674.7605961449606,41218,30951,112932
139200,29,1641.2653842220614,42715,30951,116713
144000,30,1608.4400765376201,41091,30222,120446
148800,31,1576.2712750068677,41355,30222,124159
153600,32,1544.7458495067303,39991,30222,127874
158400,33,1513.8509325165955,40820,30222,131588
163200,34,1483.5739138662639,34616,29520,135190
168000,35,1453.9024355889385,37090,29520,138851
172800,36,1424.8243868771597,41491,29520,142512
177600,37,1396.3278991396164,44846,28368,146109
182400,38,1368.4013411568242,39816,28368,149736
187200,39,1341.0333143336877,39469,28368,153342
192000,40,1314.2126480470138,37595,28368,156868
196800,41,1287.9283950860736,39520,28368,160384
201600,42,1262.169827184352,37734,28368,163866
206400,43,1236.9264306406649,42617,28368,167363
211200,44,1212.1879020278516,37974,28368,170808
216000,45,1187.9441439872944,43663,28193,174228
220800,46,1164.1852611075485,32241,28193,177632
225600,47,1140.9015558853976,38560,28193,181017
230400,48,1118.0835247676896,41341,28193,184328
235200,49,1095.7218542723358,36253,28193,187624
240000,50,1073.8074171868889,40145,28193,190920
244800,51,1052.3312688431513,36396,28193,194205
249600,52,1031.2846434662881,39710,28193,197426
254400,53,1010.6589505969623,37637,27253,200542
259200,54,990.44577158502307,34557,27253,203680
264000,55,970.63685615332258,41989,27253,206788
268800,56,951.22411903025625,39196,27253,209944
273600,57,932.1996366496511,38364,27253,213054
278400,58,913.55564391665803,35938,26571,216129
283200,59,895.28453103832487,39384,26571,219106
288000,60,877.37884041755842,29080,24561,222037
292800,61,859.83126360920721,36080,24561,224984
297600,62,842.63463833702315,39608,24561,227875
302400,63,825.78194557028257,35758,24248,230634
307200,64,809.26630665887694,30282,24248,233431
312000,65,793.08098052569949,34152,24248,236237
316800,66,777.21936091518546,35076,24248,238922
321600,67,761.67497369688169,32961,24248,241663
326400,68,746.44147422294395,33562,24248,244360
331200,69,731.51264473848516,31633,24248,247019
336000,70,716.88239184371548,33939,24248,249552
340800,71,702.54474400684114,34327,24248,252231
345600,72,688.49384912670428,31557,24248,254766
350400,73,674.72397214417015,33954,24248,257342
355200,74,661.22949270128674,30600,24040,259765
360000,75,648.00490284726106,31250,23305,262241
364800,76,635.04480479031577,27111,23305,264732
369600,77,622.34390869450942,28655,23305,267196
374400,78,609.89703052061918,31172,22240,269597
379200,79,597.69908991020691,33552,22240,271883
384000,80,585.74510811200275,27460,22240,274160
388800,81,574.0302059497626,27989,22240,276458
393600,82,562.54960183076741,28820,22240,278574
398400,83,551.29860979415207,32645,22240,280868
403200,84,540.27263759826906,29082,22240,283062
408000,85,529.46718484630367,28887,22240,285146
412800,86,518.87784114937756,28317,21738,287188
417600,87,508.50028432639004,29290,21738,289310
422400,88,498.33027863986223,25939,21738,291387
427200,89,488.36367306706501,30036,21738,293257
432000,90,478.59639960572372,24903,21738,295193
436800,91,469.02447161360925,27494,20528,297077
441600,92,459.64398218133704,28471,20528,298968
446400,93,450.45110253771026,27330,20528,300845
451200,94,441.44208048695606,25219,20528,302689
456000,95,432.61323887721693,22668,20528,304433
460800,96,423.96097409967257,30687,20528,306172
465600,97,415.48175461767914,26298,19910,307891
470400,98,407.17211952532551,27905,19910,309481
475200,99,399.02867713481902,23982,19910,311131
480000,100,391.04810359212269,27933,19910,312770
484800,101,383.22714152028016,26194,19258,314429
