iteration,level,temperature,current,best,accepted
0,0,2330.7866032285388,52342,52342,0
4800,1,2330.7866032285388,49190,36472,4095
9600,2,2284.1708711639681,46132,30536,8184
14400,3,2238.4874537406886,41256,30536,12219
19200,4,2193.7177046658749,44312,30536,16235
24000,5,2149.843350572557,44694,30536,20242
28800,6,2106.8464835611057,37176,30536,24237
33600,7,2064.7095538898834,43123,30536,28226
38400,8,2023.415362812086,41684,30536,32199
43200,9,1982.9470555558441,42249,30536,36092
48000,10,1943.2881144447272,38654,30536,40101
52800,11,1904.4223521558326,45586,30520,43938
57600,12,1866.3339051127161,45665,30520,47802
62400,13,1829.0072270104617,39188,30520,51695
67200,14,1792.4270824702523,46150,30520,55606
72000,15,1756.5785408208474,42433,30520,59481
76800,16,1721.4469700044303,40965,30520,63339
81600,17,1687.0180306043417,36668,30520,67133
86400,18,1653.2776699922549,41205,30520,70935
91200,19,1620.2121165924098,41568,30520,74683
96000,20,1587.8078742605614,43492,30520,78447
100800,21,1556.0517167753503,41820,30520,82153
105600,22,1524.9306824398432,30686,29848,85826
110400,23,1494.4320687910463,44716,29848,89482
115200,24,1464.5434274152253,44072,27524,93194
120000,25,1435.2525588669207,46053,27524,96853
124800,26,1406.5475076895823,44729,27524,100377
129600,27,1378.4165575357906,37894,27524,103979
134400,28,1350.8482263850749,39519,27524,107521
139200,29,1323.8312618573734,42864,27524,111067
144000,30,1297.3546366202261,43076,27524,114567
148800,31,1271.4075438878215,32252,27524,118071
153600,32,1245.979393010065,47446,27524,121581
158400,33,1221.0598051498637,41754,27524,125080
163200,34,1196.6386090468663,31683,27524,128528
168000,35,1172.7058368659291,38162,27524,131899
172800,36,1149.2517201286105,38279,27524,135249
177600,37,1126.2666857260383,40399,27524,138587
182400,38,1103.7413520115174,38823,27524,141860
187200,39,1081.6665249712871,44482,26901,145079
192000,40,1060.0331944718614,39788,26901,148215
196800,41,1038.8325305824239,37904,26901,151459
201600,42,1018.0558799707755,37392,26901,154588
206400,43,997.69476237135996,41062,26901,157694
211200,44,977.74086712393273,38120,26901,160779
216000,45,958.18604978145402,36575,25881,163865
220800,46,939.02232878582504,36010,25881,166924
225600,47,920.24188221010843,38041,25881,169970
230400,48,901.83704456590635,35483,25881,172968
235200,49,883.80030367458812,43766,25881,175913
240000,50,866.12429760109626,36419,25881,178813
244800,51,848.80181164907435,36630,25881,181773
249600,52,831.82577541609282,38340,25881,184647
254400,53,815.18925990777097,31246,25723,187472
259200,54,798.88547470961555,36361,24806,190220
264000,55,782.90776521542318,35439,24806,192975
268800,56,767.24960991111482,34226,24806,195793
273600,57,751.90461771289256,30483,24806,198603
278400,58,736.86652535863459,26420,24806,201258
283200,59,722.12919485146199,31952,24806,203776
288000,60,707.68661095443269,41499,23490,206361
292800,61,693.53287873534407,34427,23490,209012
297600,62,679.66222116063716,34022,23490,211491
302400,63,666.06897673742435,36224,23490,214074
307200,64,652.74759720267593,24123,21101,216562
312000,65,639.69264525862241,31058,21101,218954
316800,66,626.89879235344995,35373,21101,221417
321600,67,614.36081650638096,31695,21101,223795
326400,68,602.07360017625319,28944,21101,226167
331200,69,590.03212817272822,37121,20714,228435
336000,70,578.2314856092737,30552,20714,230775
340800,71,566.66685589708811,29741,20714,233014
345600,72,555.3335187791464,31493,20714,235284
350400,73,544.22684840356339,33180,20714,237428
355200,74,533.34231143549221,25915,20714,239629
360000,75,522.67546520678229,27746,20506,241683
364800,76,512.22195590264664,27683,20506,243794
369600,77,501.97751678459372,27379,20506,245825
374400,78,491.93796644890182,31631,20506,247872
379200,79,482.09920711992379,25658,20506,249946
384000,80,472.4572229775253,28215,20506,251837
388800,81,463.00807851797481,26059,20506,253721
393600,82,453.74791694761529,27268,20506,255495
398400,83,444.67295860866301,26395,20506,257219
403200,84,435.77949943648974,30691,20506,259097
408000,85,427.06390944776001,24789,20506,260868
412800,86,418.52263125880478,28931,20506,262591
417600,87,410.15217863362864,36104,20506,264390
422400,88,401.94913506095611,28794,20506,266140
427200,89,393.91015235973697,26117,19938,267843
432000,90,386.03194931254228,27761,19938,269428
436800,91,378.31131032629139,25022,19938,270988
441600,92,370.74508411976558,26440,19938,272528
446400,93,363.33018243737024,20319,18853,274031
451200,94,356.06357878862281,23574,18853,275548
456000,95,348.94230721285038,22130,18127,277069
460800,96,341.96346106859335,23033,18127,278484
465600,97,335.12419184722148,26091,17865,279830
470400,98,328.42170801027703,21916,17865,281255
475200,99,321.8532738500715,20650,17865,282597
480000,100,315.41620837307011,21958,17327,283891
484800,101,309.10788420560868,22314,17327,285239
489600,102,302.92572652149647,22310,17327,286487
494400,103,296.8672119910666,23093,17181,287771
499200,104,290.92986775124524,20995,17181,289062
504000,105,285.11127039622033,25307,16362,290168
508800,106,279.40904498829593,20514,16362,291385
513600,107,273.82086408853002,21794,16362,292508
518400,108,268.34444680675938,21964,15650,293530
523200,109,262.9775578706242,20141,15650,294604
528000,110,257.71800671321171,20467,15650,295619
532800,111,252.56364657894747,22585,15650,296644
537600,112,247.51237364736852,19696,15650,297616
542400,113,242.56212617442114,19848,14973,298651
547200,114,237.71088365093271,19574,14973,299554
552000,115,232.95666597791404,18640,14973,300472
556800,116,228.29753265835578,17832,14973,301280
561600,117,223.73158200518867,19790,14973,302159
566400,118,219.25695036508489,19886,14973,303029
571200,119,214.8718113577832,15998,14973,303928
576000,120,210.57437513062754,15424,14973,304761
580800,121,206.36288762801499,17465,14973,305522
585600,122,202.23562987545466,19217,14502,306242
590400,123,198.19091727794557,16470,14502,307009
595200,124,194.22709893238667,17673,14502,307713
600000,125,190.34255695373895,17139,14502,308395
604800,126,186.53570581466417,17189,14502,309129
609600,127,182.80499169837088,17213,14502,309794
614400,128,179.14889186440348,19470,14502,310467
619200,129,175.56591402711544,16337,14405,311157
624000,130,172.05459574657311,16154,14405,311773
628800,131,168.61350383164165,17834,14013,312306
633600,132,165.24123375500881,16394,13346,312831
638400,133,161.93640907990863,17480,13346,313360
643200,134,158.69768089831044,17365,13346,313953
648000,135,155.52372728034422,16032,13346,314475
652800,136,152.41325273473731,15098,13346,314989
657600,137,149.36498768004259,14082,13291,315448
662400,138,146.37768792644172,17152,13291,315923
667200,139,143.45013416791289,15683,13291,316393
672000,140,140.58113148455465,15353,13291,316810
676800,141,137.76950885486355,13117,12989,317240
681600,142,135.01411867776625,14549,12989,317616
686400,143,132.31383630421092,14256,12989,318022
691200,144,129.66755957812671,14139,12595,318397
696000,145,127.07420838656418,15207,12595,318837
700800,146,124.53272421883288,14066,12595,319239
705600,147,122.04206973445622,15111,12595,319620
710400,148,119.6012283397671,13403,12595,319970
715200,149,117.20920377297176,13478,12595,320301
720000,150,114.86501969751231,13850,12535,320641
724800,151,112.56771930356207,12413,12141,320934
729600,152,110.31636491749083,13028,12141,321224
734400,153,108.11003761914101,13947,12141,321559
739200,154,105.94783686675819,13307,11969,321844
744000,155,103.82888012942303,13838,11969,322111
748800,156,101.75230252683455,13471,11969,322367
753600,157,99.717256476297862,11908,11774,322603
758400,158,97.722911346771909,13665,11228,322808
763200,159,95.768453119836479,13115,11228,323056
768000,160,93.853084057439744,12738,11228,323330
772800,161,91.976022376290942,12257,11228,323508
777600,162,90.136501928765128,12434,11228,323717
782400,163,88.333771890189823,12957,11228,323953
787200,164,86.567096452386025,13389,11228,324125
792000,165,84.835754523338309,14295,11228,324360
796800,166,83.139039432871527,13073,11228,324584
801600,167,81.476258644214099,12215,11228,324787
806400,168,79.846733471329813,12753,11228,325007
811200,169,78.249798801903225,12152,11228,325160
816000,170,76.684802825865162,12320,11228,325354
820800,171,75.151106769347848,13419,11228,325538
825600,172,73.648084633960892,12845,11228,325709
830400,173,72.175122941281671,12267,11228,325878
835200,174,70.731620482456037,12448,11228,326027
840000,175,69.316988072806922,12117,11228,326166
844800,176,67.93064831135078,12135,11228,326303
849600,177,66.572035345123751,11969,11228,326465
854400,178,65.240594638221282,12451,11228,326623
859200,179,63.935782745456848,11731,11228,326775
864000,180,62.657067090547713,11896,11228,326900
868800,181,61.403925748736761,11367,11228,327021
873600,182,60.17584723376202,11847,10916,327138
878400,183,58.972330289086777,11130,10916,327247
883200,184,57.792883683305043,11142,10916,327333
888000,185,56.637026009638937,11553,10916,327456
892800,186,55.504285489446161,11210,10916,327544
897600,187,54.394199779657235,11529,10916,327633
902400,188,53.30631578406409,11880,10916,327744
907200,189,52.240189468382809,11591,10916,327861
912000,190,51.195385679015153,11436,10916,327986
916800,191,50.171477965434846,11490,10916,328106
921600,192,49.168048406126154,11553,10916,328191
926400,193,48.184687438003628,11256,10916,328278
931200,194,47.220993689243564,11266,10888,328352
936000,195,46.27657381545869,11122,10888,328429
940800,196,45.351042339149515,11701,10888,328506
945600,197,44.444021492366524,11414,10888,328614
950400,198,43.555141062519198,11278,10867,328687
955200,199,42.684038241268809,11588,10867,328767
960000,200,41.830357476443425,11197,10867,328865
964800,201,40.993750326914558,11414,10867,328949
969600,202,40.173875320376261,11242,10867,329019
974400,203,39.370397813968744,11335,10867,329076
979200,204,38.58298985768937,11276,10867,329146
984000,205,37.811330060535582,11179,10867,329220
988800,206,37.055103459324869,11736,10867,329273
993600,207,36.314001390138372,11300,10867,329328
998400,208,35.5877213623356,11133,10867,329373
1003200,209,34.87596693508889,11236,10739,329414
1008000,210,34.178447596387109,10917,10739,329465
1012800,211,33.494878644459369,10884,10739,329534
1017600,212,32.824981071570178,11049,10739,329583
1022400,213,32.168481450138778,10765,10724,329639
1027200,214,31.525111821136001,10810,10688,329668
1032000,215,30.894609584713283,10898,10688,329707
1036800,216,30.276717393019016,11038,10688,329744
1041600,217,29.671183045158635,10658,10658,329792
1046400,218,29.077759384255465,11014,10658,329829
1051200,219,28.496204196570353,10811,10658,329869
1056000,220,27.926280112638945,10810,10658,329908
1060800,221,27.367754510386167,10713,10658,329942
1065600,222,26.820399420178443,10692,10648,329967
1070400,223,26.283991431774872,10886,10648,329994
1075200,224,25.758311603139372,10704,10648,330022
1080000,225,25.243145371076583,10684,10648,330043
1084800,226,24.738282463655054,10852,10648,330069
1089600,227,24.243516814381952,10648,10648,330083
1094400,228,23.75864647809431,10759,10648,330102
1099200,229,23.283473548532424,10843,10648,330115
1104000,230,22.817804077561775,10727,10648,330142
1108800,231,22.361447996010536,10688,10648,330173
1113600,232,21.914219036090326,10696,10648,330178
1118400,233,21.475934655368519,10750,10648,330192
1123200,234,21.04641596226115,10702,10648,330216
1128000,235,20.625487643015926,10711,10648,330235
1132800,236,20.212977890155607,10722,10648,330254
1137600,237,19.808718332352495,10729,10648,330270
1142400,238,19.412543965705446,10766,10648,330294
1147200,239,19.024293086391335,10648,10648,330315
1152000,240,18.643807224663508,10648,10648,330330
1156800,241,18.270931080170239,10754,10648,330349
1161600,242,17.905512458566832,10684,10648,330367
1166400,243,17.547402209395496,10648,10648,330381
1171200,244,17.196454165207587,10712,10648,330392
1176000,245,16.852525081903433,10656,10648,330409
1180800,246,16.515474580265366,10756,10648,330426
1185600,247,16.185165088660057,10648,10648,330443
1190400,248,15.861461786886855,10648,10648,330456
1195200,249,15.544232551149117,10704,10648,330465
1200000,250,15.233347900126136,10656,10648,330477
1204800,251,14.928680942123611,10648,10648,330485
1209600,252,14.630107323281139,10656,10648,330490
1214400,253,14.337505176815517,10656,10648,330506
1219200,254,14.050755073279205,10648,10648,330524
1224000,255,13.769739971813621,10648,10648,330531
1228800,256,13.494345172377349,10648,10648,330544
1233600,257,13.224458268929801,10648,10648,330558
1238400,258,12.959969103551204,10648,10648,330563
1243200,259,12.70076972148018,10683,10648,330571
1248000,260,12.446754327050575,10656,10648,330582
1252800,261,12.197819240509563,10656,10648,330592
1257600,262,11.953862855699372,10656,10648,330601
1262400,263,11.714785598585385,10648,10648,330612
1267200,264,11.480489886613677,10648,10648,330615
1272000,265,11.250880088881402,10656,10648,330620
1276800,266,11.025862487103774,10648,10648,330625
1281600,267,10.805345237361699,10648,10648,330626
1286400,268,10.589238332614464,10648,10648,330636
1291200,269,10.377453565962176,10656,10648,330640
1296000,270,10.169904494642932,10648,10648,330652
1300800,271,9.9665064047500724,10648,10648,330656
1305600,272,9.7671762766550696,10656,10648,330661
1310400,273,9.5718327511219687,10648,10648,330668
1315200,274,9.3803960960995294,10656,10648,330675
1320000,275,9.1927881741775401,10648,10648,330680
1324800,276,9.0089324106939888,10648,10648,330687
1329600,277,8.82875376248011,10648,10648,330697
1334400,278,8.6521786872305064,10648,10648,330700
1339200,279,8.4791351134858974,10648,10648,330707
1344000,280,8.3095524112161794,10648,10648,330714
1348800,281,8.1433613629918558,10656,10648,330728
1353600,282,7.9804941357320187,10656,10648,330735
1358400,283,7.8208842530173781,10648,10648,330739
1363200,284,7.6644665679570307,10648,10648,330747
1368000,285,7.5111772365978897,10648,10648,330753
1372800,286,7.360953691865932,10648,10648,330764
1377600,287,7.2137346180286137,10656,10648,330774
1382400,288,7.069459925668041,10648,10648,330780
1387200,289,6.9280707271546804,10648,10648,330786
1392000,290,6.7895093126115871,10648,10648,330791
1396800,291,6.6537191263593547,10656,10648,330795
1401600,292,6.5206447438321673,10656,10648,330804
1406400,293,6.3902318489555245,10648,10648,330815
1411200,294,6.2624272119764139,10648,10648,330821
1416000,295,6.1371786677368858,10648,10648,330828
1420800,296,6.0144350943821472,10648,10648,330835
1425600,297,5.8941463924945046,10656,10648,330841
1430400,298,5.7762634646446145,10656,10648,330854
1435200,299,5.6607381953517208,10648,10648,330869
1440000,300,5.5475234314446862,10648,10648,330876
1444800,301,5.4365729628157924,10648,10648,330878
1449600,302,5.3278415035594762,10648,10648,330885
1454400,303,5.2212846734882872,10648,10648,330892
1459200,304,5.1168589800185211,10648,10648,330898
1464000,305,5.0145218004181507,10648,10648,330905
1468800,306,4.9142313644097877,10648,10648,330911
1473600,307,4.8159467371215916,10656,10648,330914
1478400,308,4.7196278023791596,10656,10648,330924
1483200,309,4.6252352463315765,10648,10648,330929
1488000,310,4.5327305414049448,10656,10648,330934
1492800,311,4.4420759305768458,10656,10648,330942
1497600,312,4.3532344119653095,10648,10648,330948
