iteration,level,temperature,current,best,accepted
0,0,3152.5635523007236,48593,48593,0
4800,1,3152.5635523007236,39245,32658,4248
9600,2,3089.5122812547093,43745,32658,8521
14400,3,3027.7220356296148,52233,32658,12776
19200,4,2967.1675949170226,45229,32658,17046
24000,5,2907.824243018682,43205,32658,21243
28800,6,2849.6677581583081,52190,32658,25500
33600,7,2792.6744029951419,46093,32658,29714
38400,8,2736.8209149352388,50371,32658,33865
43200,9,2682.0844966365339,44884,32658,38063
48000,10,2628.4428067038034,50974,32658,42269
52800,11,2575.8739505697272,41774,32658,46429
57600,12,2524.3564715583325,47532,32645,50546
62400,13,2473.869342127166,46826,32645,54680
67200,14,2424.3919552846228,44033,32645,58834
72000,15,2375.9041161789301,41330,32645,62924
76800,16,2328.3860338553513,47973,32645,66987
81600,17,2281.8183131782444,41559,32645,71064
86400,18,2236.1819469146794,42358,32645,75145
91200,19,2191.4583079763856,40082,32645,79209
96000,20,2147.629141816858,44781,32645,83262
100800,21,2104.6765589805209,40749,32645,87182
105600,22,2062.5830278009103,40963,32519,91169
110400,23,2021.3313672448921,40633,32519,95133
115200,24,1980.9047398999942,38278,32519,99087
120000,25,1941.2866451019943,39758,31814,103031
124800,26,1902.4609121999542,49687,31814,106949
129600,27,1864.4116939559553,49238,31814,110836
134400,28,1827.1234600768362,41218,31814,114712
139200,29,1790.5809908752994,50046,30931,118608
144000,30,1754.7693710577937,42839,30931,122466
148800,31,1719.6739836366378,42735,30931,126221
153600,32,1685.2805039639049,45308,30096,130004
158400,33,1651.5748938846268,39171,30096,133767
163200,34,1618.5433960069342,39216,30096,137535
168000,35,1586.1725280867956,39326,30096,141177
172800,36,1554.4490775250595,41400,30096,144925
177600,37,1523.3600959745584,44833,30096,148612
182400,38,1492.8928940550672,44141,30096,152253
187200,39,1463.0350361739659,34384,30096,155937
192000,40,1433.7743354504864,39655,29588,159511
196800,41,1405.0988487414768,31940,29588,163119
201600,42,1376.996871766647,42126,29205,166681
206400,43,1349.456934331314,49072,29205,170181
211200,44,1322.4677956446878,38192,27646,173647
216000,45,1296.0184397317939,47337,27646,177209
220800,46,1270.0980709371581,39411,27646,180706
225600,47,1244.6961095184149,39017,27646,184105
230400,48,1219.8021873280466,44079,27646,187596
235200,49,1195.4061435814856,40815,27646,190937
240000,50,1171.4980207098558,33237,26521,194285
244800,51,1148.0680602956586,37835,26243,197620
249600,52,1125.1066990897455,36634,26243,200948
254400,53,1102.6045651079505,37028,26243,204262
259200,54,1080.5524738057916,38435,26243,207503
264000,55,1058.9414243296758,35937,26143,210816
